Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Seed Round - Horizon Blockchain Games,https://www.crunchbase.com/funding_round/horizon-blockchain-games-seed--fd1021e2,Horizon Blockchain Games,https://www.crunchbase.com/organization/horizon-blockchain-games,Seed,3750000,USD,3750000,2019-07-17,"Coinbase, Digital Currency Group, Golden Ventures, Initialized Capital, Inovia Capital, Polychain"
Seed Round - dfuse,https://www.crunchbase.com/funding_round/dfuse-5725-seed--afb805d5,dfuse,https://www.crunchbase.com/organization/dfuse-5725,Seed,3500000,USD,3500000,2019-06-26,"BoxOne Ventures, Diagram Ventures, Intel Capital, Multicoin Capital, Panache Ventures, White Star Capital"
Seed Round - Ockam,https://www.crunchbase.com/funding_round/ockam-seed--76125427,Ockam,https://www.crunchbase.com/organization/ockam,Seed,3200000,USD,3200000,2019-06-20,"Core Ventures Group, Future Ventures, Okta Ventures, SGH CAPITAL"
Series A - NEAR Protocol,https://www.crunchbase.com/funding_round/near-0565-series-a--5b9355b4,NEAR Protocol,https://www.crunchbase.com/organization/near-0565,Series A,12100000,USD,12100000,2019-07-10,"Accomplice, Amplify Partners, Coinbase Ventures, Electric Capital, MetaStable Capital, Pantera Capital, Xpring"
Corporate Round - Tokeny,https://www.crunchbase.com/funding_round/tokeny-corporate-round--3a4bba2b,Tokeny,https://www.crunchbase.com/organization/tokeny,Corporate Round,5000000,EUR,5643748,2019-07-01,Euronext
Series A - Fireblocks,https://www.crunchbase.com/funding_round/fireblocks-series-a--de0c2800,Fireblocks,https://www.crunchbase.com/organization/fireblocks,Series A,16000000,USD,16000000,2019-06-11,"CyberStarts, Eight Roads Ventures, MState, Tenaya Capital"
Series A - Spring Labs,https://www.crunchbase.com/funding_round/spring-labs-series-a--7767d216,Spring Labs,https://www.crunchbase.com/organization/spring-labs,Series A,23000000,USD,23000000,2019-06-12,"August Capital, Cardworks, Galaxy Digital LP, General Motors Ventures, GreatPoint Ventures, Multicoin Capital, Pritzker Group, RRE Ventures"
Series A - SAFE,https://www.crunchbase.com/funding_round/safe-2-series-a--a7147445,SAFE,https://www.crunchbase.com/organization/safe-2,Series A,3500000,USD,3500000,2019-07-01,"Caivis, Flight Ventures, Harry Schwefel, Mayo Clinic, StartUp Health"
"Seed Round - Fluree, PBC",https://www.crunchbase.com/funding_round/fluree-pbc-seed--0bd0bd42,"Fluree, PBC",https://www.crunchbase.com/organization/fluree-pbc,Seed,4730000,USD,4730000,2019-06-03,"4490 Ventures, Revolution"
Seed Round - Marlin Labs,https://www.crunchbase.com/funding_round/marlin-protocol-seed--10101ab5,Marlin Labs,https://www.crunchbase.com/organization/marlin-protocol,Seed,3000000,USD,3000000,2019-07-10,"Arrington XRP Capital, Binance Labs, DHVC, Electric Capital, Jehan Chu, NEO Global Capital (NGC)"
Series A - Crowdz,https://www.crunchbase.com/funding_round/crowdz-series-a--69a6b04f,Crowdz,https://www.crunchbase.com/organization/crowdz,Series A,5500000,USD,5500000,2019-05-22,"Barclays Investment Bank, Bold Capital Partners, Chris Adelsbach, Clay Dedeaux, First Derivatives, Johnson Family Trust, Kerry Ritz, Matt Johnson, Payson Johnston, Steven Lee, Susan Standiford, Task Force X Capital, Techstars Ventures, WS Investments"
Series A - Second State,https://www.crunchbase.com/funding_round/second-state-series-a--5e988a60,Second State,https://www.crunchbase.com/organization/second-state,Series A,3000000,USD,3000000,2019-07-17,"Ethereum Classic Labs, Marc Fleury, SIG China (SIG Asia Investments)"
Series A - Voatz,https://www.crunchbase.com/funding_round/voatz-series-a--52074297,Voatz,https://www.crunchbase.com/organization/voatz,Series A,7000000,USD,7000000,2019-06-06,"Medici Ventures, Oakhouse Partners, Techstars, Urban Innovation Fund"
Venture Round - Propy,https://www.crunchbase.com/funding_round/propy-series-unknown--3d7a714e,Propy,https://www.crunchbase.com/organization/propy,Venture - Series Unknown,,,,2019-06-11,Second Century Ventures
Venture Round - BlockCerts,https://www.crunchbase.com/funding_round/blockcerts-series-unknown--0f633605,BlockCerts,https://www.crunchbase.com/organization/blockcerts,Venture - Series Unknown,25000000,USD,25000000,2019-06-18,"Hillcore Group, Robson Financial Group"
Series C - PeerSafe China,https://www.crunchbase.com/funding_round/peersafe-china-series-c--4890aa08,PeerSafe China,https://www.crunchbase.com/organization/peersafe-china,Series C,,,,2019-06-21,Military Civil Integration Industry Development Fund
